272) 11.414794,0.484399,0.2714
273) 10.965995,2.1041,2.419
275) 10.889695,3.5023,3.2109
276) 11.077094,0.838999,3.5722
277) 11.049395,1.088999,5.4756
278) 10.896596,7.7535,12.5923
280) 7.769398,16.3969,11.4947
281) 11.160496,4.917899,11.4391
283) 5.355895,1.114701,13.598
284) 3.581295,1.715001,12.5781
285) 5.406395,1.195901,12.3003
286) 10.215095,2.2192,11.4451
287) 10.383194,0.5877,12.8929
288) 10.929294,0.7881,13.5966
290) 9.000994,1.0099,12.8106
291) 9.548594,0.6978,12.8265
293) 4.651895,1.355801,13.7483
294) 1.998695,4.871102,13.1511
295) 1.998694,0.500302,13.5139
296) 0.034594,0.916202,13.3139
297) 3.773695,1.313801,13.0932
298) 4.478395,1.133201,13.0203
299) 10.262194,0.6713,13.4313
300) 0.253295,1.715402,13.4089
301) 3.895197,12.372401,12.6358
303) 5.721095,2.807501,12.5712
304) -0.503405,3.184002,13.128
306) 3.012194,0.907302,14.2527
308) 7.399095,1.7897,11.3989
310) 8.133295,2.4543,12.059
313) 6.699494,0.616501,13.4981
